 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.38 
1561807410.27
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  18	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  73	  47	  71	
 204.8	  89	 140	  85	 137	  87	 144	  94	 142	
 409.6	 178	 279	 170	 273	 174	 288	 188	 283	
 819.2	 355	 557	 339	 545	 346	 575	 375	 566	
1638.4	 710	1113	 677	1090	 692	1148	 749	1130	
3276.8	1419	2225	1354	2180	1384	2297	1499	2261	
