 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.69 
1564907125.4
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  42	  68	  43	  72	  46	  70	
 204.8	  87	 138	  83	 135	  86	 143	  92	 140	
 409.6	 174	 276	 165	 270	 171	 285	 184	 280	
 819.2	 347	 551	 330	 539	 341	 569	 368	 559	
1638.4	 694	1101	 659	1076	 680	1136	 735	1117	
3276.8	1385	2199	1317	2150	1357	2269	1467	2230	
