 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.55 
1557095840.4
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  41	  69	  44	  67	
 204.8	  84	 134	  80	 130	  82	 137	  89	 134	
 409.6	 168	 266	 159	 259	 164	 273	 177	 268	
 819.2	 334	 531	 317	 516	 326	 543	 351	 533	
1638.4	 667	1060	 633	1031	 651	1086	 701	1065	
3276.8	1333	2119	1265	2061	1301	2169	1402	2129	
