 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.47 
1565072442.83
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  66	  41	  69	  44	  67	
 204.8	  83	 133	  78	 131	  82	 137	  87	 134	
 409.6	 166	 266	 156	 261	 164	 274	 174	 268	
 819.2	 330	 531	 312	 521	 327	 548	 346	 535	
1638.4	 660	1061	 622	1039	 654	1093	 692	1068	
3276.8	1317	2119	1242	2077	1306	2185	1381	2134	
