 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.54 
1563578366.02
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  19	  33	  20	  34	  22	  34	
 102.4	  40	  66	  38	  64	  40	  68	  43	  67	
 204.8	  80	 132	  75	 128	  80	 136	  86	 133	
 409.6	 160	 264	 150	 256	 159	 271	 171	 265	
 819.2	 318	 526	 299	 510	 317	 540	 342	 528	
1638.4	 637	1053	 599	1021	 634	1081	 684	1059	
3276.8	1267	2097	1192	2032	1261	2151	1360	2105	
