 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.54 
1564121232.46
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  33	
 102.4	  40	  66	  38	  64	  40	  68	  43	  66	
 204.8	  80	 132	  75	 128	  79	 135	  86	 132	
 409.6	 159	 263	 150	 256	 159	 270	 171	 265	
 819.2	 317	 526	 299	 511	 317	 540	 342	 529	
1638.4	 632	1049	 595	1018	 630	1077	 682	1054	
3276.8	1261	2094	1187	2031	1258	2148	1359	2103	
