 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
3.88 
1563320909.81
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  37	  24	  36	
 102.4	  45	  70	  43	  69	  44	  73	  47	  71	
 204.8	  89	 140	  85	 137	  87	 145	  94	 142	
 409.6	 178	 279	 169	 273	 174	 289	 188	 284	
 819.2	 354	 557	 337	 545	 346	 576	 374	 566	
1638.4	 707	1114	 673	1090	 692	1151	 748	1131	
3276.8	1411	2223	1344	2176	1381	2296	1492	2258	
