 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.59 
1566422478.94
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  34	
 102.4	  40	  66	  37	  64	  40	  68	  43	  67	
 204.8	  79	 132	  74	 128	  79	 136	  86	 133	
 409.6	 158	 264	 148	 255	 158	 271	 170	 265	
 819.2	 314	 526	 295	 509	 315	 540	 340	 529	
1638.4	 629	1053	 591	1020	 630	1081	 681	1060	
3276.8	1253	2098	1176	2033	1255	2154	1355	2110	
