 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.81 
1563727406.4
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  36	
 102.4	  44	  70	  42	  68	  43	  72	  47	  71	
 204.8	  88	 139	  84	 136	  86	 144	  93	 141	
 409.6	 176	 278	 168	 272	 172	 286	 186	 282	
 819.2	 351	 554	 334	 542	 343	 572	 371	 562	
1638.4	 700	1105	 667	1081	 685	1140	 740	1121	
3276.8	1400	2208	1332	2160	1368	2278	1479	2240	
