 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.95 
1564463068.4
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  36	
 102.4	  44	  70	  42	  68	  43	  72	  47	  71	
 204.8	  88	 139	  84	 136	  86	 144	  93	 141	
 409.6	 175	 278	 167	 271	 172	 286	 186	 282	
 819.2	 350	 554	 333	 542	 343	 572	 371	 562	
1638.4	 699	1106	 664	1082	 685	1141	 739	1122	
3276.8	1395	2208	1326	2160	1367	2279	1476	2240	
