 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.60 
1563017127.59
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	  10	  16	  10	  17	  11	  16	
  51.2	  20	  32	  19	  32	  19	  33	  21	  33	
 102.4	  39	  64	  37	  63	  38	  66	  42	  65	
 204.8	  78	 128	  73	 125	  75	 131	  82	 129	
 409.6	 156	 256	 146	 250	 150	 261	 164	 258	
 819.2	 311	 510	 292	 499	 300	 520	 328	 514	
1638.4	 620	1020	 583	 997	 599	1040	 656	1027	
3276.8	1238	2037	1165	1990	1195	2075	1308	2050	
