 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.01 
1554795192.28
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  34	  22	  33	
 102.4	  42	  66	  40	  65	  40	  67	  44	  66	
 204.8	  83	 131	  80	 129	  79	 133	  87	 132	
 409.6	 166	 261	 159	 256	 157	 265	 173	 264	
 819.2	 332	 521	 317	 512	 313	 530	 346	 527	
1638.4	 662	1042	 633	1024	 626	1060	 692	1054	
3276.8	1324	2084	1266	2048	1253	2120	1384	2108	
