 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
21.39 
1564577593.34
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  33	
 102.4	  40	  66	  38	  64	  40	  68	  43	  66	
 204.8	  80	 132	  75	 128	  79	 135	  86	 133	
 409.6	 159	 263	 149	 255	 158	 270	 171	 265	
 819.2	 316	 525	 297	 509	 315	 538	 341	 527	
1638.4	 629	1046	 592	1014	 627	1072	 678	1051	
3276.8	1258	2090	1182	2026	1252	2143	1355	2099	
