 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.57 
1563537335.69
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  36	
 102.4	  45	  70	  42	  68	  40	  72	  47	  71	
 204.8	  88	 139	  84	 136	  86	 144	  93	 141	
 409.6	 176	 278	 168	 272	 172	 287	 186	 282	
 819.2	 352	 554	 334	 542	 344	 572	 371	 562	
1638.4	 701	1106	 667	1083	 686	1142	 741	1123	
3276.8	1401	2209	1332	2161	1370	2280	1480	2241	
