 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.65 
1560149570.29
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	  10	  16	  10	  17	  11	  17	
  51.2	  20	  32	  19	  32	  19	  33	  21	  33	
 102.4	  40	  65	  38	  63	  38	  66	  42	  65	
 204.8	  80	 128	  76	 126	  76	 131	  83	 129	
 409.6	 160	 256	 151	 251	 152	 261	 166	 258	
 819.2	 319	 513	 301	 502	 305	 522	 333	 516	
1638.4	 635	1022	 601	1000	 607	1040	 662	1027	
3276.8	1272	2046	1202	2001	1214	2082	1325	2057	
