 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
17.89 
1563251931.54
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  81	 134	  77	 130	  81	 137	  87	 134	
 409.6	 162	 266	 152	 258	 161	 273	 173	 268	
 819.2	 323	 532	 304	 516	 321	 546	 346	 535	
1638.4	 644	1062	 607	1030	 640	1091	 692	1069	
3276.8	1286	2120	1212	2057	1277	2177	1379	2132	
