 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.46 
1565873655.3
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  42	  68	  43	  72	  46	  70	
 204.8	  87	 139	  83	 135	  86	 143	  93	 141	
 409.6	 174	 277	 165	 270	 171	 286	 185	 281	
 819.2	 346	 551	 329	 539	 340	 569	 368	 559	
1638.4	 692	1102	 657	1077	 679	1138	 735	1117	
3276.8	1381	2199	1311	2149	1356	2271	1466	2230	
