 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
7.20 
1563332847.79
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   8	   5	   8	   5	   9	   6	   8	
  25.6	  11	  16	  10	  16	  10	  17	  11	  16	
  51.2	  21	  33	  21	  32	  20	  34	  21	  32	
 102.4	  42	  65	  41	  64	  40	  67	  42	  63	
 204.8	  84	 129	  81	 127	  79	 133	  84	 126	
 409.6	 167	 257	 160	 252	 158	 266	 168	 252	
 819.2	 334	 513	 320	 504	 315	 531	 335	 503	
1638.4	 666	1023	 638	1005	 629	1058	 669	1002	
3276.8	1331	2046	1277	2011	1258	2118	1338	2005	
