 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.31 
1566221610.06
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  34	
 102.4	  40	  66	  38	  64	  40	  68	  43	  67	
 204.8	  79	 132	  75	 128	  79	 136	  86	 133	
 409.6	 158	 263	 148	 255	 158	 270	 170	 265	
 819.2	 315	 526	 296	 510	 315	 540	 340	 529	
1638.4	 629	1051	 591	1018	 629	1078	 680	1057	
3276.8	1251	2091	1175	2026	1251	2144	1350	2100	
