 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.63 
1554298621.47
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  34	  22	  33	
 102.4	  41	  66	  40	  64	  40	  67	  44	  66	
 204.8	  82	 131	  79	 128	  79	 133	  87	 131	
 409.6	 163	 261	 157	 255	 158	 265	 173	 261	
 819.2	 327	 522	 314	 511	 316	 532	 346	 524	
1638.4	 653	1044	 626	1022	 631	1062	 692	1047	
3276.8	1305	2084	1250	2040	1260	2121	1380	2090	
