 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.47 
1557221612.9
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  83	 132	  79	 129	  81	 135	  87	 133	
 409.6	 166	 264	 157	 256	 162	 270	 174	 265	
 819.2	 331	 526	 314	 511	 323	 538	 347	 528	
1638.4	 662	1053	 628	1020	 646	1077	 695	1056	
3276.8	1322	2102	1254	2044	1289	2150	1387	2109	
