 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
18.52 
1559931711.98
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  40	  65	  41	  69	  44	  68	
 204.8	  84	 135	  79	 131	  82	 138	  89	 136	
 409.6	 167	 269	 158	 261	 164	 276	 177	 271	
 819.2	 332	 536	 314	 520	 327	 550	 352	 539	
1638.4	 663	1071	 627	1039	 653	1098	 702	1077	
3276.8	1324	2139	1252	2076	1304	2195	1403	2151	
