 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.37 
1564995011.17
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  33	
 102.4	  40	  66	  38	  64	  40	  68	  43	  66	
 204.8	  79	 132	  75	 128	  79	 135	  85	 132	
 409.6	 157	 262	 148	 254	 157	 268	 170	 263	
 819.2	 315	 524	 296	 508	 314	 538	 340	 527	
1638.4	 630	1048	 592	1017	 628	1075	 679	1053	
3276.8	1258	2094	1183	2031	1255	2148	1356	2104	
