 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.16 
1557047360.29
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  33	  20	  32	  21	  34	  22	  33	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  83	 132	  79	 128	  81	 135	  87	 132	
 409.6	 166	 263	 157	 256	 162	 269	 174	 264	
 819.2	 333	 528	 316	 514	 324	 540	 350	 530	
1638.4	 662	1052	 628	1024	 646	1076	 695	1056	
3276.8	1324	2104	1255	2046	1290	2151	1389	2110	
