 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
16.41 
1565348276.86
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  67	
 204.8	  83	 133	  78	 131	  82	 137	  87	 134	
 409.6	 165	 265	 155	 260	 163	 274	 173	 268	
 819.2	 329	 530	 310	 516	 326	 547	 345	 534	
1638.4	 656	1059	 619	1038	 652	1092	 690	1067	
3276.8	1310	2114	1237	2073	1301	2181	1377	2130	
