 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.15 
1560762478.3
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  90	 139	  86	 137	  87	 144	  94	 142	
 409.6	 179	 278	 171	 273	 173	 287	 188	 283	
 819.2	 356	 555	 340	 545	 346	 573	 375	 564	
1638.4	 711	1110	 679	1089	 691	1145	 749	1127	
3276.8	1420	2216	1355	2174	1379	2285	1494	2250	
