 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.20 
1565995213.18
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	   9	  16	  10	  17	  11	  16	
  51.2	  20	  32	  18	  52	  19	  33	  21	  32	
 102.4	  39	  64	  36	  63	  38	  65	  41	  65	
 204.8	  77	 128	  72	 125	  75	 130	  81	 129	
 409.6	 153	 255	 143	 249	 149	 260	 163	 257	
 819.2	 305	 509	 285	 497	 297	 519	 325	 513	
1638.4	 609	1017	 569	 992	 593	1037	 648	1024	
3276.8	1214	2025	1133	1975	1180	2064	1289	2038	
