 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.42 
1561622404.61
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  82	 134	  78	 130	  81	 137	  88	 135	
 409.6	 164	 267	 154	 259	 162	 274	 175	 269	
 819.2	 326	 532	 308	 516	 323	 546	 348	 535	
1638.4	 648	1059	 612	1027	 641	1086	 691	1063	
3276.8	1294	2114	1221	2051	1279	2167	1380	2123	
