 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
9.65 
1564079287.69
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   8	   5	   8	   5	   9	   6	   8	
  25.6	  11	  16	  10	  16	  10	  17	  11	  16	
  51.2	  21	  32	  20	  32	  20	  34	  21	  32	
 102.4	  42	  64	  40	  63	  40	  67	  42	  63	
 204.8	  84	 129	  80	 126	  79	 133	  84	 126	
 409.6	 166	 257	 159	 252	 157	 265	 168	 252	
 819.2	 332	 512	 318	 503	 314	 530	 335	 503	
1638.4	 662	1023	 636	1005	 628	1059	 668	1004	
3276.8	1322	2043	1269	2006	1253	2115	1335	2004	
