 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.09 
1561440809.31
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  82	 133	  77	 129	  81	 136	  87	 134	
 409.6	 163	 267	 154	 259	 162	 273	 174	 268	
 819.2	 325	 530	 307	 515	 321	 544	 347	 533	
1638.4	 650	1060	 613	1029	 642	1087	 693	1065	
3276.8	1295	2114	1223	2051	1279	2167	1381	2123	
