 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.76 
1561026817.35
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  82	 134	  78	 130	  81	 137	  88	 134	
 409.6	 164	 267	 155	 259	 162	 274	 175	 269	
 819.2	 327	 532	 309	 516	 323	 546	 348	 535	
1638.4	 650	1059	 614	1028	 642	1087	 692	1064	
3276.8	1298	2114	1225	2051	1281	2168	1381	2122	
