 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.87 
1560308527.65
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   6	   8	
  25.6	  10	  16	  10	  16	  10	  17	  11	  17	
  51.2	  20	  32	  19	  32	  19	  33	  21	  33	
 102.4	  40	  64	  38	  63	  38	  65	  42	  65	
 204.8	  80	 128	  75	 126	  76	 131	  83	 129	
 409.6	 159	 256	 150	 250	 152	 261	 166	 257	
 819.2	 317	 511	 300	 500	 303	 520	 331	 514	
1638.4	 634	1021	 599	 999	 606	1040	 662	1027	
3276.8	1265	2039	1195	1995	1209	2076	1320	2049	
