 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
14.45 
1560121831.74
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  33	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 132	  80	 130	  82	 135	  87	 133	
 409.6	 167	 263	 159	 259	 163	 270	 174	 265	
 819.2	 334	 527	 318	 519	 327	 541	 348	 530	
1638.4	 666	1050	 634	1033	 651	1077	 693	1056	
3276.8	1330	2098	1266	2064	1300	2152	1384	2109	
