 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
7.04 
1559905049.59
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   6	   8	   6	   8	   5	   9	   6	   8	
  25.6	  11	  16	  11	  16	  10	  17	  11	  16	
  51.2	  21	  32	  21	  32	  20	  33	  22	  32	
 102.4	  42	  64	  41	  64	  40	  66	  43	  64	
 204.8	  84	 128	  81	 127	  79	 132	  85	 126	
 409.6	 167	 256	 162	 253	 157	 264	 169	 252	
 819.2	 335	 513	 324	 507	 314	 529	 340	 505	
1638.4	 668	1022	 645	1010	 626	1054	 677	1007	
3276.8	1332	2040	1287	2016	1249	2102	1350	2009	
