 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.54 
1561104122.18
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  68	
 204.8	  83	 134	  78	 130	  82	 138	  88	 135	
 409.6	 165	 268	 155	 260	 162	 275	 175	 269	
 819.2	 328	 533	 309	 517	 324	 547	 349	 537	
1638.4	 654	1065	 617	1033	 646	1092	 696	1070	
3276.8	1306	2127	1232	2063	1290	2183	1391	2138	
