 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.80 
1563663770.14
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  21	  34	  22	  36	  24	  36	
 102.4	  45	  70	  42	  68	  44	  72	  47	  71	
 204.8	  89	 139	  84	 136	  87	 144	  94	 142	
 409.6	 177	 278	 168	 272	 173	 287	 187	 282	
 819.2	 352	 555	 335	 543	 345	 573	 373	 564	
1638.4	 703	1109	 668	1085	 688	1145	 744	1125	
3276.8	1404	2215	1335	2167	1374	2287	1485	2248	
