 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
3.51 
1559847847.87
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  22	  34	  22	  36	  24	  35	
 102.4	  44	  69	  43	  68	  43	  71	  47	  70	
 204.8	  88	 138	  85	 136	  85	 142	  93	 140	
 409.6	 175	 276	 169	 272	 169	 283	 186	 280	
 819.2	 350	 551	 337	 543	 338	 566	 372	 560	
1638.4	 699	1100	 673	1084	 676	1131	 743	1119	
3276.8	1396	2197	1343	2165	1348	2257	1483	2233	
