 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.76 
1560284781.95
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  22	  34	  21	  33	  21	  35	  22	  34	
 102.4	  43	  67	  41	  66	  42	  69	  44	  67	
 204.8	  85	 134	  81	 131	  83	 137	  88	 135	
 409.6	 169	 266	 161	 261	 166	 273	 176	 268	
 819.2	 338	 531	 321	 522	 331	 546	 352	 535	
1638.4	 673	1060	 639	1042	 660	1090	 701	1067	
3276.8	1347	2120	1279	2085	1319	2181	1402	2136	
