 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
18.73 
1559990871.81
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  23	  34	
 102.4	  42	  68	  40	  66	  41	  69	  44	  68	
 204.8	  84	 135	  79	 131	  82	 138	  89	 136	
 409.6	 166	 268	 157	 260	 164	 275	 176	 270	
 819.2	 332	 536	 314	 520	 327	 550	 352	 539	
1638.4	 663	1072	 627	1040	 653	1100	 704	1079	
3276.8	1322	2139	1251	2075	1302	2195	1403	2151	
