 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
14.89 
1560128964.71
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  32	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 132	  80	 130	  82	 136	  87	 133	
 409.6	 167	 264	 159	 259	 164	 271	 174	 265	
 819.2	 333	 525	 317	 517	 325	 538	 346	 528	
1638.4	 666	1050	 634	1033	 650	1077	 693	1056	
3276.8	1330	2099	1267	2065	1300	2153	1385	2110	
