 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.32 
1560627697.5
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  17	  11	  17	  11	  18	  11	  17	
  51.2	  22	  34	  21	  33	  21	  35	  23	  34	
 102.4	  43	  67	  41	  66	  42	  69	  45	  68	
 204.8	  85	 134	  81	 132	  84	 138	  89	 135	
 409.6	 170	 267	 161	 263	 166	 275	 177	 269	
 819.2	 339	 534	 321	 524	 332	 549	 353	 538	
1638.4	 676	1066	 642	1047	 663	1097	 704	1074	
3276.8	1349	2127	1281	2090	1323	2189	1404	2143	
