 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.99 
1566233745.0
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   5	   8	   5	   8	   5	   9	   5	   8	
  25.6	  10	  16	   9	  16	  10	  17	  10	  16	
  51.2	  20	  32	  18	  31	  19	  33	  21	  32	
 102.4	  38	  64	  36	  62	  37	  65	  41	  64	
 204.8	  77	 127	  72	 124	  74	 130	  81	 128	
 409.6	 152	 253	 142	 247	 148	 258	 161	 255	
 819.2	 303	 506	 283	 494	 295	 516	 322	 509	
1638.4	 606	1011	 566	 986	 590	1031	 644	1018	
3276.8	1208	2017	1129	1968	1175	2056	1283	2029	
