 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.38 
1563415214.72
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  36	
 102.4	  44	  70	  42	  68	  43	  72	  47	  71	
 204.8	  88	 139	  84	 136	  87	 144	  93	 141	
 409.6	 176	 278	 168	 272	 172	 287	 186	 282	
 819.2	 352	 555	 335	 543	 344	 572	 372	 563	
1638.4	 702	1107	 668	1082	 687	1142	 742	1122	
3276.8	1401	2210	1334	2162	1372	2281	1481	2241	
