 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
8.43 
1560870039.48
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   6	   8	   5	   9	   6	   8	
  25.6	  11	  17	  11	  16	  10	  17	  11	  16	
  51.2	  22	  33	  21	  32	  20	  34	  22	  32	
 102.4	  43	  65	  41	  64	  40	  68	  43	  64	
 204.8	  86	 130	  82	 128	  80	 135	  86	 128	
 409.6	 170	 260	 164	 256	 160	 269	 172	 256	
 819.2	 340	 518	 327	 510	 320	 536	 343	 510	
1638.4	 680	1037	 654	1022	 640	1074	 686	1022	
3276.8	1356	2069	1303	2038	1276	2140	1367	2037	
