 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.42 
1565018841.21
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  42	  68	  43	  72	  47	  70	
 204.8	  88	 139	  83	 136	  86	 143	  93	 141	
 409.6	 174	 277	 166	 270	 171	 285	 185	 281	
 819.2	 348	 552	 331	 540	 341	 570	 369	 560	
1638.4	 695	1103	 661	1078	 682	1138	 736	1118	
3276.8	1388	2202	1318	2154	1360	2273	1470	2233	
