 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.40 
1554238965.21
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   4	   3	   4	
  12.8	   6	   8	   5	   8	   5	   9	   6	   8	
  25.6	  11	  16	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  19	  33	  22	  33	
 102.4	  41	  65	  39	  64	  38	  66	  43	  66	
 204.8	  81	 129	  78	 148	  77	 131	  86	 131	
 409.6	 162	 259	 157	 255	 153	 262	 171	 261	
 819.2	 324	 516	 312	 509	 305	 523	 341	 522	
1638.4	 646	1030	 623	1015	 608	1044	 680	1040	
3276.8	1289	2058	1244	2028	1215	2084	1358	2077	
