 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
6.40 
1562171075.37
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  89	 139	  85	 137	  87	 144	  94	 142	
 409.6	 178	 278	 169	 273	 173	 287	 188	 283	
 819.2	 354	 556	 338	 545	 346	 574	 374	 564	
1638.4	 707	1110	 674	1087	 690	1145	 747	1127	
3276.8	1411	2216	1346	2171	1378	2286	1490	2249	
