 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
6.09 
1566392318.35
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  41	  68	  43	  71	  46	  70	
 204.8	  87	 138	  82	 135	  85	 143	  92	 140	
 409.6	 173	 275	 164	 269	 170	 284	 180	 279	
 819.2	 345	 550	 327	 537	 339	 568	 366	 558	
1638.4	 688	1097	 653	1072	 676	1132	 731	1112	
3276.8	1372	2191	1304	2141	1349	2261	1458	2221	
