 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.55 
1555326193.6
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 132	  80	 129	  82	 135	  88	 133	
 409.6	 168	 265	 160	 259	 163	 271	 176	 266	
 819.2	 334	 527	 317	 514	 324	 538	 350	 529	
1638.4	 670	1057	 636	1030	 650	1080	 703	1061	
3276.8	1333	2104	1266	2051	1294	2150	1397	2111	
