 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.78 
1555330687.71
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  84	 133	  80	 129	  82	 136	  88	 133	
 409.6	 168	 264	 159	 258	 163	 270	 176	 265	
 819.2	 334	 528	 318	 514	 325	 539	 350	 529	
1638.4	 668	1054	 635	1027	 649	1077	 700	1057	
3276.8	1337	2110	1270	2057	1298	2157	1401	2118	
