 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
29.80 
1554429217.48
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  33	
 102.4	  42	  66	  40	  65	  41	  67	  44	  66	
 204.8	  83	 131	  79	 128	  81	 134	  87	 132	
 409.6	 166	 262	 158	 256	 160	 267	 174	 263	
 819.2	 331	 523	 316	 512	 320	 534	 348	 525	
1638.4	 663	1050	 633	1026	 643	1071	 698	1054	
3276.8	1326	2100	1266	2052	1285	2143	1396	2108	
