 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
4.45 
1563359665.36
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  34	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  89	 140	  85	 137	  87	 144	  94	 142	
 409.6	 177	 278	 168	 272	 173	 288	 187	 283	
 819.2	 353	 556	 336	 544	 346	 574	 373	 565	
1638.4	 705	1111	 671	1087	 690	1147	 746	1127	
3276.8	1406	2217	1339	2169	1377	2289	1488	2250	
