 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.20 
1560867417.04
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  82	 133	  77	 129	  81	 136	  87	 134	
 409.6	 163	 265	 154	 257	 161	 272	 174	 267	
 819.2	 326	 530	 308	 514	 322	 543	 347	 533	
1638.4	 651	1059	 615	1028	 642	1086	 693	1064	
3276.8	1306	2124	1233	2061	1288	2179	1390	2135	
