 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
30.32 
1556848136.59
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  83	 132	  79	 129	  81	 135	  88	 133	
 409.6	 166	 264	 158	 257	 162	 270	 174	 265	
 819.2	 332	 527	 315	 513	 324	 539	 349	 529	
1638.4	 663	1053	 629	1025	 647	1078	 696	1057	
3276.8	1328	2110	1260	2052	1296	2159	1395	2117	
