 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
6.20 
1564587534.76
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  35	
 102.4	  44	  70	  42	  68	  43	  72	  47	  71	
 204.8	  88	 139	  83	 136	  86	 143	  93	 141	
 409.6	 175	 276	 166	 270	 171	 285	 185	 280	
 819.2	 349	 552	 331	 540	 342	 570	 369	 560	
1638.4	 696	1102	 661	1078	 682	1138	 737	1118	
3276.8	1389	2201	1321	2153	1361	2271	1471	2232	
