 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.07 
1563760564.37
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  21	  34	  22	  36	  24	  36	
 102.4	  44	  70	  42	  68	  43	  72	  47	  71	
 204.8	  88	 139	  84	 136	  86	 144	  93	 141	
 409.6	 176	 278	 168	 272	 172	 287	 186	 282	
 819.2	 351	 554	 334	 542	 343	 571	 371	 562	
1638.4	 701	1106	 667	1082	 685	1141	 741	1122	
3276.8	1401	2210	1333	2162	1368	2280	1481	2242	
