 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.52 
1560187990.35
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  67	  40	  65	  41	  68	  44	  67	
 204.8	  84	 133	  80	 131	  83	 136	  88	 134	
 409.6	 168	 264	 160	 260	 164	 272	 175	 266	
 819.2	 336	 529	 320	 520	 329	 543	 350	 533	
1638.4	 669	1054	 636	1037	 654	1082	 696	1061	
3276.8	1336	2107	1272	2073	1308	2164	1391	2120	
