 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
18.95 
1563311787.89
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  19	  33	  20	  35	  22	  34	
 102.4	  41	  67	  38	  65	  40	  68	  43	  67	
 204.8	  81	 133	  76	 129	  80	 136	  87	 133	
 409.6	 161	 266	 152	 258	 160	 273	 173	 267	
 819.2	 322	 531	 303	 515	 320	 545	 346	 534	
1638.4	 641	1058	 604	1026	 637	1086	 688	1064	
3276.8	1279	2112	1206	2048	1271	2169	1374	2123	
