 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
21.04 
1565215422.04
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   5	   9	   5	   8	   5	   9	   6	   9	
  25.6	  10	  17	  10	  16	  10	  17	  11	  17	
  51.2	  20	  33	  19	  32	  20	  34	  22	  33	
 102.4	  40	  66	  38	  64	  40	  68	  43	  67	
 204.8	  79	 132	  74	 128	  79	 135	  85	 132	
 409.6	 157	 262	 148	 254	 157	 269	 170	 263	
 819.2	 315	 524	 296	 508	 314	 538	 339	 527	
1638.4	 627	1045	 589	1013	 626	1071	 676	1049	
3276.8	1257	2097	1181	2034	1256	2152	1358	2108	
