 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
6.12 
1560154898.4
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	   8	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  34	  22	  36	  24	  35	
 102.4	  45	  69	  43	  68	  43	  71	  47	  70	
 204.8	  89	 138	  85	 136	  86	 142	  93	 140	
 409.6	 177	 276	 169	 271	 171	 284	 187	 280	
 819.2	 353	 551	 338	 542	 342	 567	 373	 559	
1638.4	 705	1101	 675	1082	 683	1133	 745	1118	
3276.8	1406	2197	1347	2159	1362	2260	1484	2229	
